customerNumber,customerName,contactLastName,contactFirstName,phone,country,city,addressLine1,postalCode
167,"Herkku Gifts",Oeztan,Veysel,"+47 2267 3215","Norway  ",Bergen,"Brehmen St. 121","N 5804"
168,"American Souvenirs Inc",Franco,Keith,2035557845,USA,"New Haven","149 Spinnaker Dr.",97823
169,"Porto Imports Co.","de Castro","Isabel ","(1) 356-5555",Portugal,Lisboa,"Estrada da saúde n. 58",1756
171,"Daedalus Designs Imports",Rancé,"Martine ",20.16.1555,France,Lille,"184, chaussée de Tournai",59000
172,"La Corne D'abondance, Co.",Bertrand,Marie,"(1) 42.34.2555",France,Paris,"265, boulevard Charonne",75012
173,"Cambridge Collectables Co.",Tseng,Jerry,6175555555,USA,Cambridge,"4658 Baden Av.",51247
175,"Gift Depot Inc.",King,Julie,2035552570,USA,Bridgewater,"25593 South Bay Ln.",97562
177,"Osaka Souveniers Co.",Kentary,Mory,"+81 06 6342 5555",Japan,Kita-ku,"1-6-20 Dojima"," 530-0003"
181,"Vitachrome Inc.",Frick,Michael,2125551500,USA,NYC,"2678 Kingston Rd.",10022
186,"Toys of Finland, Co.",Karttunen,Matti,"90-224 8555",Finland,Helsinki,"Keskuskatu 45",21240
187,"AV Stores, Co.",Ashworth,Rachel,"(171) 555-1555",UK,Manchester,"Fauntleroy Circus","EC2 5NT"
189,"Clover Collections, Co.",Cassidy,Dean,"+353 1862 1555",Ireland,Dublin,"25 Maiden Lane",2
198,"Auto-Moto Classics Inc.",Taylor,Leslie,6175558428,USA,Brickhaven,"16780 Pompton St.",58339
201,"UK Collectables, Ltd.",Devon,Elizabeth,"(171) 555-2282",UK,Liverpool,"12, Berkeley Gardens Blvd","WX1 6LT"
202,"Canadian Gift Exchange Network",Tamuri,"Yoshi ","(604) 555-3392",Canada,Vancouver,"1900 Oak St.","V3F 2K1"
204,"Online Mini Collectables",Barajas,Miguel,6175557555,USA,Brickhaven,"7635 Spinnaker Dr.",58339
205,Toys4GrownUps.com,Young,Julie,6265557265,USA,Pasadena,"78934 Hillside Dr.",90003
206,"Asian Shopping Network, Co",Walker,Brydey,"+612 9411 1555",Singapore,Singapore,"Suntec Tower Three",038988
209,"Mini Caravy",Citeaux,"Frédérique ",88.60.1555,France,Strasbourg,"24, place Kléber",67000
211,"King Kong Collectables, Co.",Gao,Mike,"+852 2251 1555","Hong Kong","Central Hong Kong","Bank of China Tower",NULL
216,"Enaco Distributors",Saavedra,"Eduardo ","(93) 203 4555",Spain,Barcelona,"Rambla de Cataluña, 23",08022
219,"Boards & Toys Co.",Young,Mary,3105552373,USA,Glendale,"4097 Douglas Av.",92561
223,"Natürlich Autos",Kloss,"Horst ",0372-555188,Germany,Cunewalde,"Taucherstraße 10",01307
227,"Heintze Collectables",Ibsen,Palle,"86 21 3555",Denmark,Århus,"Smagsloget 45",8200
233,"Québec Home Shopping Network",Fresnière,"Jean ","(514) 555-8054",Canada,Montréal,"43 rue St. Laurent","H1J 1C3"
237,"ANG Resellers",Camino,"Alejandra ","(91) 745 6555",Spain,Madrid,"Gran Vía, 1",28001
239,"Collectable Mini Designs Co.",Thompson,Valarie,7605558146,USA,"San Diego","361 Furth Circle",91217
240,giftsbymail.co.uk,Bennett,"Helen ","(198) 555-8888",UK,Cowes,"Garden House","PO31 7PJ"
242,"Alpha Cognac",Roulet,"Annette ",61.77.6555,France,Toulouse,"1 rue Alsace-Lorraine",31000
247,"Messner Shopping Network",Messner,"Renate ",069-0555984,Germany,Frankfurt,"Magazinweg 7",60528
249,"Amica Models & Co.",Accorti,"Paolo ",011-4988555,Italy,Torino,"Via Monte Bianco 34",10100
